EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	09:56:20	0	0.0200	0.05872476766235195	0.004695133771747351	1.0	1.0	1.0	1.0
2	09:57:41	0	0.0200	0.00045018838663963835	0.0002918307145591825	1.0	1.0	1.0	1.0
3	09:59:02	0	0.0200	0.00010890164548982284	0.00012939014413859695	1.0	1.0	1.0	1.0
4	10:00:16	0	0.0200	6.601009845326189e-05	7.816821016604081e-05	1.0	1.0	1.0	1.0
5	10:01:33	0	0.0200	0.0004910707488761546	4.885957605438307e-05	1.0	1.0	1.0	1.0
6	10:02:51	0	0.0200	3.327778174480045e-05	2.858208608813584e-05	1.0	1.0	1.0	1.0
