EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	14:33:26	0	0.0200	0.052147747005801645	0.005228693597018719	1.0	1.0	1.0	1.0
2	14:34:39	0	0.0200	0.0012843345270084684	0.0010551149025559425	1.0	1.0	1.0	1.0
3	14:35:46	0	0.0200	8.21863317014504e-05	0.00035040866350755095	1.0	1.0	1.0	1.0
4	14:36:56	0	0.0200	3.403563416668476e-05	0.00019051098206546158	1.0	1.0	1.0	1.0
5	14:38:16	0	0.0200	2.7206174672755877e-05	0.0001683960435912013	1.0	1.0	1.0	1.0
6	14:39:41	0	0.0200	6.479569810835528e-05	2.540514469728805e-05	1.0	1.0	1.0	1.0
