EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	14:28:27	0	0.0200	0.05420270661513011	0.13954095542430878	1.0	0.9	0.9474	0.9
2	14:31:59	0	0.0200	0.012841743735043565	0.02552533522248268	0.9756	1.0	0.9877	0.975
3	14:35:14	0	0.0200	0.0025768044535955897	0.0012317668879404664	1.0	1.0	1.0	1.0
4	14:38:28	0	0.0200	0.0017871534660798716	0.00010660152474883944	1.0	1.0	1.0	1.0
5	14:41:53	0	0.0200	0.00036947213042897906	5.184596011531539e-05	1.0	1.0	1.0	1.0
6	14:45:04	0	0.0200	4.8818313867589795e-05	2.4813929485389963e-05	1.0	1.0	1.0	1.0
