EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	16:17:52	0	0.0200	0.056189783639274536	0.21973606944084167	0.95	0.95	0.95	0.95
2	16:18:52	0	0.0200	0.006821096502972068	0.15578167140483856	0.95	0.95	0.95	0.95
3	16:19:51	1	0.0200	0.0007461659418822819	0.2547456920146942	0.95	0.95	0.95	0.95
4	16:20:50	2	0.0200	8.411389187585882e-05	0.26801055669784546	0.95	0.95	0.95	0.95
5	16:21:47	3	0.0200	3.582791911185268e-05	0.27240148186683655	0.95	0.95	0.95	0.95
6	16:22:46	4	0.0200	3.0460406867405256e-05	0.2756914496421814	0.95	0.95	0.95	0.95
