EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	14:57:41	0	0.0200	0.06051457818183634	0.3883526623249054	1.0	0.5333	0.6957	0.5333
2	15:00:32	0	0.0200	0.019761528616719364	0.014371469616889954	1.0	1.0	1.0	1.0
3	15:03:23	0	0.0200	0.0009693694480221084	0.00018923568131867796	1.0	1.0	1.0	1.0
4	15:06:15	0	0.0200	7.716447652607409e-05	6.423432205338031e-05	1.0	1.0	1.0	1.0
5	15:09:11	0	0.0200	2.8841273329918395e-05	2.8005431886413135e-05	1.0	1.0	1.0	1.0
6	15:12:02	0	0.0200	0.00023332608624665834	2.4824666979839094e-05	1.0	1.0	1.0	1.0
