EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	13:25:49	0	0.0200	0.03956203558870281	0.17122356593608856	0.7917	0.95	0.8636	0.725
2	13:28:35	0	0.0200	0.014122101742153366	0.06641874462366104	1.0	0.975	0.9873	0.975
3	13:31:24	1	0.0200	0.007725819898284195	0.06807556748390198	0.9512	0.975	0.963	0.95
4	13:34:03	2	0.0200	0.0028909390997190107	0.09446799010038376	0.9744	0.95	0.962	0.95
5	13:36:34	3	0.0200	0.0030861723630247677	0.15051743388175964	1.0	0.925	0.961	0.925
6	13:39:05	4	0.0200	0.0013164984705175205	0.11236891895532608	0.9744	0.95	0.962	0.95
